[2023-11-17 15:48:41,067] [autoreload.py:668] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2023-11-17 15:48:54,368] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 8659
[2023-11-17 15:48:54,457] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /static/grappelli/jquery/ui/jquery-ui.min.css HTTP/1.1" 200 29614
[2023-11-17 15:48:54,475] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /static/grappelli/jquery/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 11421
[2023-11-17 15:48:54,476] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /static/grappelli/stylesheets/mueller/grid/output.css HTTP/1.1" 200 36537
[2023-11-17 15:48:54,483] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /static/grappelli/jquery/jquery.min.js HTTP/1.1" 200 89501
[2023-11-17 15:48:54,487] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /static/grappelli/stylesheets/screen.css HTTP/1.1" 200 127982
[2023-11-17 15:48:54,488] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /static/grappelli/js/grappelli.min.js HTTP/1.1" 200 27906
[2023-11-17 15:48:54,493] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /static/grappelli/jquery/ui/jquery-ui.min.js HTTP/1.1" 200 255084
[2023-11-17 15:48:54,562] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /static/grappelli/images/spritesheet-1694777276.png HTTP/1.1" 200 25228
[2023-11-17 15:48:58,290] [log.py:241] [log:log_response] [WARNING]- Not Found: /
[2023-11-17 15:48:58,292] [basehttp.py:212] [basehttp:log_message] [WARNING]- "GET / HTTP/1.1" 404 2572
[2023-11-17 15:49:15,415] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 8659
[2023-11-17 15:49:20,225] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/logout/ HTTP/1.1" 200 4888
[2023-11-17 15:49:32,420] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 302 0
[2023-11-17 15:49:32,449] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/login/?next=/admin/ HTTP/1.1" 200 6093
[2023-11-17 15:49:36,944] [basehttp.py:212] [basehttp:log_message] [INFO]- "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
